First Name,Last Name,Email Address,Phone Number,Role,Account Number,Principal Amount,Monthly Rate (%),Loan Date,Initial Transaction Type,Initial Transaction Amount,Transaction Description,Document Category,Document Title
John,Doe,john.doe@example.com,(555) 123-4567,user,ACC001,50000.00,1.0,2024-01-15,loan,50000.00,Initial loan disbursement,loan_agreement,Loan Agreement - John Doe
Jane,Smith,jane.smith@example.com,(555) 987-6543,user,ACC002,75000.00,1.25,2024-02-01,loan,75000.00,Initial loan disbursement,loan_agreement,Loan Agreement - Jane Smith
,,,,,,,,,,,,,,
Instructions:,,,,,,,,,,,,,,
"1. First Name - Client's legal first name",,,,,,,,,,,,,,
"2. Last Name - Client's legal last name",,,,,,,,,,,,,,
"3. Email Address - Valid email for account access",,,,,,,,,,,,,,
"4. Phone Number - Contact number (optional but recommended)",,,,,,,,,,,,,,
"5. Role - Leave as 'user' for clients, 'admin' for administrators",,,,,,,,,,,,,,
"6. Account Number - Unique identifier (e.g., ACC001, ACC002, etc.)",,,,,,,,,,,,,,
"7. Principal Amount - Initial loan amount in dollars",,,,,,,,,,,,,,
"8. Monthly Rate (%) - Monthly interest rate as percentage (e.g., 1.0 for 1%)",,,,,,,,,,,,,,
"9. Loan Date - Date loan was issued (YYYY-MM-DD format)",,,,,,,,,,,,,,
"10. Initial Transaction Type - Use 'loan' for initial disbursement",,,,,,,,,,,,,,
"11. Initial Transaction Amount - Same as Principal Amount for initial loan",,,,,,,,,,,,,,
"12. Transaction Description - Brief description of the transaction",,,,,,,,,,,,,,
"13. Document Category - Type of document (loan_agreement, identification, financial_statement, etc.)",,,,,,,,,,,,,,
"14. Document Title - Descriptive title for the document",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"- Each row represents one client",,,,,,,,,,,,,,
"- All clients will need to set their password after account creation",,,,,,,,,,,,,,
"- Account numbers must be unique",,,,,,,,,,,,,,
"- Email addresses must be unique",,,,,,,,,,,,,,
"- Monthly rates are stored as decimals (1% = 1.0)",,,,,,,,,,,,,,
"- Documents will need to be uploaded separately after account creation",,,,,,,,,,,,,,
"- Additional transactions can be added later through the system",,,,,,,,,,,,,,
